"21148","10,12,15,17,19,20","8"
"21147","05,10,11,13,27,28","9"
"21146","07,09,21,22,26,32","3"
"21145","04,07,10,14,16,26","9"
"21144","02,05,13,15,23,26","7"
"21143","01,09,11,13,20,29","9"
"21142","04,07,17,19,20,24","16"
"21141","01,14,19,23,26,30","10"
"21140","05,10,16,26,27,33","1"
"21139","12,14,19,23,24,27","1"
"21138","11,14,15,16,27,32","9"
"21137","03,07,10,14,21,24","1"
"21136","02,06,09,15,19,28","16"
"21135","03,10,17,19,21,31","4"
"21134","01,02,16,19,25,31","8"
"21133","01,03,12,19,27,31","10"
"21132","01,04,06,14,20,28","8"
"21131","08,11,18,19,20,24","1"
"21130","08,09,15,24,26,30","6"
"21129","04,15,21,27,28,29","10"
"21128","05,17,20,21,23,33","4"
"21127","07,15,16,20,27,29","7"
"21126","19,20,23,27,28,31","1"
"21125","14,19,20,23,24,31","9"
